"variable" "mean" "activity" "subject"
"fBodyAccJerk_meanFreq_X" 0.202899961364448 "STANDING" NA
"fBodyAccJerk_meanFreq_Y" -0.131892581837775 "STANDING" NA
"fBodyAccJerk_meanFreq_Z" 0.00670022889249738 "STANDING" NA
"fBodyGyro_mean_X" -0.943654258352571 "STANDING" NA
"fBodyGyro_mean_Y" -0.965302753756558 "STANDING" NA
"fBodyGyro_mean_Z" -0.958384988536201 "STANDING" NA
"fBodyGyro_std_X" -0.946971557429171 "STANDING" NA
"fBodyGyro_std_Y" -0.959498600608604 "STANDING" NA
"fBodyGyro_std_Z" -0.960689223903463 "STANDING" NA
"fBodyGyro_meanFreq_X" -0.227494715950519 "STANDING" NA
"fBodyGyro_meanFreq_Y" -0.216012369878284 "STANDING" NA
"fBodyGyro_meanFreq_Z" -0.0914293859460278 "STANDING" NA
"fBodyAccMag_mean" -0.955868098520462 "STANDING" NA
"fBodyAccMag_std" -0.949601613473977 "STANDING" NA
"fBodyAccMag_meanFreq" 0.0484947368601238 "STANDING" NA
"fBodyAccJerkMag_mean" -0.971090423866737 "STANDING" NA
"fBodyAccJerkMag_std" -0.970947966726128 "STANDING" NA
"fBodyAccJerkMag_meanFreq" 0.251268415000934 "STANDING" NA
"fBodyGyroMag_mean" -0.94790849906086 "STANDING" NA
"fBodyGyroMag_std" -0.93063670339979 "STANDING" NA
"fBodyGyroMag_meanFreq" -0.183705132389758 "STANDING" NA
"fBodyGyroJerkMag_mean" -0.974885979685205 "STANDING" NA
"fBodyGyroJerkMag_std" -0.973461064197272 "STANDING" NA
"fBodyGyroJerkMag_meanFreq" 0.0848650395195068 "STANDING" NA
"tBodyAcc_mean_X" 0.276336875325203 "WALKING" NA
"tBodyAcc_mean_Y" -0.0179068331339779 "WALKING" NA
"tBodyAcc_mean_Z" -0.108881687638618 "WALKING" NA
"tBodyAcc_std_X" -0.314644454310285 "WALKING" NA
"tBodyAcc_std_Y" -0.0235829464260859 "WALKING" NA
"tBodyAcc_std_Z" -0.2739207990668 "WALKING" NA
"tGravityAcc_mean_X" 0.93499157825784 "WALKING" NA
"tGravityAcc_mean_Y" -0.196713497359117 "WALKING" NA
"tGravityAcc_mean_Z" -0.0538251249015482 "WALKING" NA
"tGravityAcc_std_X" -0.977612074494773 "WALKING" NA
"tGravityAcc_std_Y" -0.966903875917538 "WALKING" NA
"tGravityAcc_std_Z" -0.954597565156794 "WALKING" NA
"tBodyAccJerk_mean_X" 0.0767187377408595 "WALKING" NA
"tBodyAccJerk_mean_Y" 0.0115061924659823 "WALKING" NA
"tBodyAccJerk_mean_Z" -0.00231938614930952 "WALKING" NA
"tBodyAccJerk_std_X" -0.267288163330981 "WALKING" NA
"tBodyAccJerk_std_Y" -0.103141139217389 "WALKING" NA
"tBodyAccJerk_std_Z" -0.479147120981986 "WALKING" NA
"tBodyGyro_mean_X" -0.0347275766522822 "WALKING" NA
"tBodyGyro_mean_Y" -0.0694200436104837 "WALKING" NA
"tBodyGyro_mean_Z" 0.0863626487285566 "WALKING" NA
"tBodyGyro_std_X" -0.469914839340418 "WALKING" NA
"tBodyGyro_std_Y" -0.347921806314175 "WALKING" NA
"tBodyGyro_std_Z" -0.338448612532172 "WALKING" NA
"tBodyGyroJerk_mean_X" -0.0943007119992102 "WALKING" NA
"tBodyGyroJerk_mean_Y" -0.0445701108594715 "WALKING" NA
"tBodyGyroJerk_mean_Z" -0.0540064674427816 "WALKING" NA
"tBodyGyroJerk_std_X" -0.37622140274036 "WALKING" NA
"tBodyGyroJerk_std_Y" -0.512619067859872 "WALKING" NA
"tBodyGyroJerk_std_Z" -0.447427245411672 "WALKING" NA
"tBodyAccMag_mean" -0.167937853979757 "WALKING" NA
"tBodyAccMag_std" -0.33775398556687 "WALKING" NA
"tGravityAccMag_mean" -0.167937853979757 "WALKING" NA
"tGravityAccMag_std" -0.33775398556687 "WALKING" NA
"tBodyAccJerkMag_mean" -0.241451989838379 "WALKING" NA
"tBodyAccJerkMag_std" -0.214555894362491 "WALKING" NA
"tBodyGyroMag_mean" -0.274866019270244 "WALKING" NA
"tBodyGyroMag_std" -0.382629015979094 "WALKING" NA
"tBodyGyroJerkMag_mean" -0.460511516745528 "WALKING" NA
"tBodyGyroJerkMag_std" -0.498841024689745 "WALKING" NA
"fBodyAcc_mean_X" -0.297890931822619 "WALKING" NA
"fBodyAcc_mean_Y" -0.0423392245272938 "WALKING" NA
"fBodyAcc_mean_Z" -0.341840674953966 "WALKING" NA
"fBodyAcc_std_X" -0.322835798362427 "WALKING" NA
"fBodyAcc_std_Y" -0.0772063416317422 "WALKING" NA
"fBodyAcc_std_Z" -0.296078309260848 "WALKING" NA
"fBodyAcc_meanFreq_X" -0.28685827761899 "WALKING" NA
"fBodyAcc_meanFreq_Y" 0.0518636618040337 "WALKING" NA
"fBodyAcc_meanFreq_Z" 0.0749560748261487 "WALKING" NA
"fBodyAccJerk_mean_X" -0.31112743843018 "WALKING" NA
"fBodyAccJerk_mean_Y" -0.170395065771795 "WALKING" NA
"fBodyAccJerk_mean_Z" -0.451010514389593 "WALKING" NA
"fBodyAccJerk_std_X" -0.287897688500499 "WALKING" NA
"fBodyAccJerk_std_Y" -0.0908699078702335 "WALKING" NA
"fBodyAccJerk_std_Z" -0.506329080412654 "WALKING" NA
"fBodyAccJerk_meanFreq_X" -0.258388290587468 "WALKING" NA
"fBodyAccJerk_meanFreq_Y" -0.354659109992689 "WALKING" NA
"fBodyAccJerk_meanFreq_Z" -0.24068649680518 "WALKING" NA
"fBodyGyro_mean_X" -0.348237370890012 "WALKING" NA
"fBodyGyro_mean_Y" -0.388384886139303 "WALKING" NA
"fBodyGyro_mean_Z" -0.310406242610407 "WALKING" NA
"fBodyGyro_std_X" -0.510431986710081 "WALKING" NA
"fBodyGyro_std_Y" -0.331961524686347 "WALKING" NA
"fBodyGyro_std_Z" -0.410569112536585 "WALKING" NA
"fBodyGyro_meanFreq_X" -0.0677418230563182 "WALKING" NA
"fBodyGyro_meanFreq_Y" -0.0984530711444367 "WALKING" NA
"fBodyGyro_meanFreq_Z" -0.0721787297258188 "WALKING" NA
"fBodyAccMag_mean" -0.275558097404657 "WALKING" NA
"fBodyAccMag_std" -0.480002278144599 "WALKING" NA
"fBodyAccMag_meanFreq" 0.184417205519328 "WALKING" NA
"fBodyAccJerkMag_mean" -0.214653971925401 "WALKING" NA
"fBodyAccJerkMag_std" -0.221617770280105 "WALKING" NA
"fBodyAccJerkMag_meanFreq" 0.0773140386701899 "WALKING" NA
"fBodyGyroMag_mean" -0.409173038476359 "WALKING" NA
"fBodyGyroMag_std" -0.47383309359518 "WALKING" NA
"fBodyGyroMag_meanFreq" 0.163203814253339 "WALKING" NA
"fBodyGyroJerkMag_mean" -0.515516844208937 "WALKING" NA
"fBodyGyroJerkMag_std" -0.514404823691173 "WALKING" NA
"fBodyGyroJerkMag_meanFreq" 0.130805801208583 "WALKING" NA
"tBodyAcc_mean_X" 0.288137227760313 "WALKING_DOWNSTAIRS" NA
"tBodyAcc_mean_Y" -0.0163119254923574 "WALKING_DOWNSTAIRS" NA
"tBodyAcc_mean_Z" -0.105761624860013 "WALKING_DOWNSTAIRS" NA
"tBodyAcc_std_X" 0.100766330932127 "WALKING_DOWNSTAIRS" NA
"tBodyAcc_std_Y" 0.0595486228783642 "WALKING_DOWNSTAIRS" NA
"tBodyAcc_std_Z" -0.190804507442162 "WALKING_DOWNSTAIRS" NA
"tGravityAcc_mean_X" 0.926457404928876 "WALKING_DOWNSTAIRS" NA
"tGravityAcc_mean_Y" -0.168507222023357 "WALKING_DOWNSTAIRS" NA
"tGravityAcc_mean_Z" -0.0479709004743904 "WALKING_DOWNSTAIRS" NA
"tGravityAcc_std_X" -0.949748838733997 "WALKING_DOWNSTAIRS" NA
"tGravityAcc_std_Y" -0.934266078534851 "WALKING_DOWNSTAIRS" NA
"tGravityAcc_std_Z" -0.912460554516358 "WALKING_DOWNSTAIRS" NA
"tBodyAccJerk_mean_X" 0.0892266917679481 "WALKING_DOWNSTAIRS" NA
"tBodyAccJerk_mean_Y" 0.000746749097403983 "WALKING_DOWNSTAIRS" NA
"tBodyAccJerk_mean_Z" -0.00872860399406828 "WALKING_DOWNSTAIRS" NA
"tBodyAccJerk_std_X" -0.0338826468930654 "WALKING_DOWNSTAIRS" NA
"tBodyAccJerk_std_Y" -0.0736744063550434 "WALKING_DOWNSTAIRS" NA
"tBodyAccJerk_std_Z" -0.388666069444772 "WALKING_DOWNSTAIRS" NA
"tBodyGyro_mean_X" -0.0840345434632895 "WALKING_DOWNSTAIRS" NA
"tBodyGyro_mean_Y" -0.0529928638977233 "WALKING_DOWNSTAIRS" NA
"tBodyGyro_mean_Z" 0.0946781961059175 "WALKING_DOWNSTAIRS" NA
"tBodyGyro_std_X" -0.333817475057255 "WALKING_DOWNSTAIRS" NA
"tBodyGyro_std_Y" -0.339631376954339 "WALKING_DOWNSTAIRS" NA
"tBodyGyro_std_Z" -0.272809910672304 "WALKING_DOWNSTAIRS" NA
"tBodyGyroJerk_mean_X" -0.0728532273938407 "WALKING_DOWNSTAIRS" NA
"tBodyGyroJerk_mean_Y" -0.051263979292845 "WALKING_DOWNSTAIRS" NA
"tBodyGyroJerk_mean_Z" -0.0546961525371337 "WALKING_DOWNSTAIRS" NA
"tBodyGyroJerk_std_X" -0.38268977198606 "WALKING_DOWNSTAIRS" NA
"tBodyGyroJerk_std_Y" -0.465943810555121 "WALKING_DOWNSTAIRS" NA
"tBodyGyroJerk_std_Z" -0.326455992480064 "WALKING_DOWNSTAIRS" NA
"tBodyAccMag_mean" 0.101249699851558 "WALKING_DOWNSTAIRS" NA
"tBodyAccMag_std" 0.116488914352198 "WALKING_DOWNSTAIRS" NA
"tGravityAccMag_mean" 0.101249699851558 "WALKING_DOWNSTAIRS" NA
"tGravityAccMag_std" 0.116488914352198 "WALKING_DOWNSTAIRS" NA
"tBodyAccJerkMag_mean" -0.111801821250135 "WALKING_DOWNSTAIRS" NA
"tBodyAccJerkMag_std" -0.011220665881458 "WALKING_DOWNSTAIRS" NA
"tBodyGyroMag_mean" -0.129785639782795 "WALKING_DOWNSTAIRS" NA
"tBodyGyroMag_std" -0.251427800988919 "WALKING_DOWNSTAIRS" NA
"tBodyGyroJerkMag_mean" -0.416891551237909 "WALKING_DOWNSTAIRS" NA
"tBodyGyroJerkMag_std" -0.440929331631124 "WALKING_DOWNSTAIRS" NA
"fBodyAcc_mean_X" 0.035259668648926 "WALKING_DOWNSTAIRS" NA
"fBodyAcc_mean_Y" 0.0566826541965861 "WALKING_DOWNSTAIRS" NA
"fBodyAcc_mean_Z" -0.21372923278293 "WALKING_DOWNSTAIRS" NA
"fBodyAcc_std_X" 0.121937984843535 "WALKING_DOWNSTAIRS" NA
"fBodyAcc_std_Y" -0.0082336714233357 "WALKING_DOWNSTAIRS" NA
"fBodyAcc_std_Z" -0.245872896782916 "WALKING_DOWNSTAIRS" NA
"fBodyAcc_meanFreq_X" -0.400019573396373 "WALKING_DOWNSTAIRS" NA
"fBodyAcc_meanFreq_Y" 0.000603134408748222 "WALKING_DOWNSTAIRS" NA
"fBodyAcc_meanFreq_Z" 0.0924263373459659 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerk_mean_X" -0.0722967761178656 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerk_mean_Y" -0.116380593184566 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerk_mean_Z" -0.333190280461238 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerk_std_X" -0.0821905158144886 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerk_std_Y" -0.091416460479564 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerk_std_Z" -0.443554664639787 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerk_meanFreq_X" -0.314941325453129 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerk_meanFreq_Y" -0.386044309466579 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerk_meanFreq_Z" -0.23740280265473 "WALKING_DOWNSTAIRS" NA
"fBodyGyro_mean_X" -0.217922875601003 "WALKING_DOWNSTAIRS" NA
"fBodyGyro_mean_Y" -0.317592694113158 "WALKING_DOWNSTAIRS" NA
"fBodyGyro_mean_Z" -0.16562514453862 "WALKING_DOWNSTAIRS" NA
"fBodyGyro_std_X" -0.375127467913848 "WALKING_DOWNSTAIRS" NA
"fBodyGyro_std_Y" -0.36185368284522 "WALKING_DOWNSTAIRS" NA
"fBodyGyro_std_Z" -0.38040999928478 "WALKING_DOWNSTAIRS" NA
"fBodyGyro_meanFreq_X" -0.170016349676807 "WALKING_DOWNSTAIRS" NA
"fBodyGyro_meanFreq_Y" -0.0440853930714011 "WALKING_DOWNSTAIRS" NA
"fBodyGyro_meanFreq_Z" -0.0187917610518457 "WALKING_DOWNSTAIRS" NA
"fBodyAccMag_mean" 0.142849426284481 "WALKING_DOWNSTAIRS" NA
"fBodyAccMag_std" -0.0754251669550853 "WALKING_DOWNSTAIRS" NA
"fBodyAccMag_meanFreq" 0.0250364653867319 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerkMag_mean" 0.00476245916278094 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerkMag_std" -0.0422714225290824 "WALKING_DOWNSTAIRS" NA
"fBodyAccJerkMag_meanFreq" 0.0200704059537717 "WALKING_DOWNSTAIRS" NA
"fBodyGyroMag_mean" -0.289525832505356 "WALKING_DOWNSTAIRS" NA
"fBodyGyroMag_std" -0.361230992213905 "WALKING_DOWNSTAIRS" NA
